"Trafikkregistreringspunkt","Vegreferanse","Navn","Dato","Fra tidspunkt","Til tidspunkt","Trafikkmengde","Gyldige passeringer","Gjennomsnittshastighet","85-fraktil"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","00:00:00","01:00:00","618.0","618.0","57.7","66.4"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","01:00:00","02:00:00","650.0","650.0","56.7","65.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","02:00:00","03:00:00","527.0","527.0","59.6","68.4"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","03:00:00","04:00:00","555.0","555.0","60.8","69.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","04:00:00","05:00:00","390.0","390.0","61.8","69.4"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","05:00:00","06:00:00","247.0","247.0","59.4","67.0"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","06:00:00","07:00:00","151.0","151.0","59.0","66.0"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","07:00:00","08:00:00","131.0","131.0","60.0","67.0"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","08:00:00","09:00:00","100.0","100.0","58.8","65.9"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","09:00:00","10:00:00","96.0","96.0","58.4","66.5"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","10:00:00","11:00:00","144.0","144.0","57.3","64.9"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","11:00:00","12:00:00","196.0","196.0","56.6","64.0"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","12:00:00","13:00:00","267.0","267.0","56.2","62.4"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","13:00:00","14:00:00","375.0","375.0","56.4","62.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","14:00:00","15:00:00","457.0","457.0","55.7","61.3"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","15:00:00","16:00:00","482.0","482.0","55.2","61.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","16:00:00","17:00:00","560.0","560.0","54.6","60.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","17:00:00","18:00:00","468.0","468.0","54.6","61.0"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","18:00:00","19:00:00","498.0","498.0","55.2","62.0"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","19:00:00","20:00:00","460.0","460.0","55.9","62.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","20:00:00","21:00:00","409.0","409.0","56.0","62.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","21:00:00","22:00:00","282.0","282.0","56.4","63.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","22:00:00","23:00:00","277.0","277.0","57.5","64.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-01","23:00:00","00:00:00","173.0","173.0","57.8","65.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","00:00:00","01:00:00","105.0","105.0","58.4","68.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","01:00:00","02:00:00","76.0","76.0","59.4","67.7"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","02:00:00","03:00:00","47.0","47.0","59.2","66.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","03:00:00","04:00:00","34.0","34.0","57.8","65.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","04:00:00","05:00:00","39.0","39.0","58.2","67.3"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","05:00:00","06:00:00","106.0","106.0","58.2","67.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","06:00:00","07:00:00","252.0","252.0","57.2","64.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","07:00:00","08:00:00","583.0","583.0","54.5","60.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","08:00:00","09:00:00","789.0","789.0","53.8","59.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","09:00:00","10:00:00","612.0","612.0","54.3","59.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","10:00:00","11:00:00","604.0","604.0","55.4","61.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","11:00:00","12:00:00","670.0","670.0","54.8","60.4"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","12:00:00","13:00:00","655.0","654.0","55.4","61.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","13:00:00","14:00:00","713.0","713.0","55.3","61.7"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","14:00:00","15:00:00","751.0","750.0","55.3","61.5"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","15:00:00","16:00:00","890.0","890.0","54.6","60.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","16:00:00","17:00:00","840.0","839.0","52.9","58.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","17:00:00","18:00:00","602.0","601.0","54.4","60.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","18:00:00","19:00:00","489.0","489.0","54.6","60.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","19:00:00","20:00:00","466.0","466.0","55.5","62.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","20:00:00","21:00:00","410.0","410.0","54.2","60.6"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","21:00:00","22:00:00","336.0","336.0","56.0","62.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","22:00:00","23:00:00","283.0","283.0","55.8","61.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-02","23:00:00","00:00:00","173.0","173.0","57.8","65.0"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","00:00:00","01:00:00","128.0","128.0","56.6","63.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","01:00:00","02:00:00","101.0","101.0","57.6","65.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","02:00:00","03:00:00","49.0","49.0","60.4","66.4"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","03:00:00","04:00:00","51.0","51.0","59.2","66.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","04:00:00","05:00:00","45.0","45.0","59.0","67.8"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","05:00:00","06:00:00","99.0","99.0","59.0","65.5"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","06:00:00","07:00:00","275.0","274.0","56.0","62.1"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","07:00:00","08:00:00","606.0","606.0","54.9","59.9"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","08:00:00","09:00:00","837.0","837.0","54.0","60.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","09:00:00","10:00:00","707.0","707.0","54.8","61.2"
"29403V625517","RV162 S1D1 m2975","Vaterlandtunnelen","2020-01-03","10:00:00","11:00:00","706.0","706.0","54.8","61.2"
