Vegreferanse,Fartsgrense,Meter_Fra,Meter_Til
RV162 S1D1 m2472-2477,50,2472,2477
RV162 S1D1 m2477-2483,50,2477,2483
RV162 S1D1 m2483-2526,50,2483,2526
RV162 S1D1 m2526-2565,50,2526,2565
RV162 S1D1 m2565-2936,50,2565,2936
RV162 S1D1 m2936-3051,50,2936,3051
RV162 S1D1 m3051-3070,50,3051,3070
RV162 S1D1 m3070-3096,50,3070,3096
RV162 S1D1 m3096-3458,50,3096,3458
RV162 S1D1 m3458-3460,50,3458,3460
RV162 S1D1 m3460-3481,50,3460,3481
RV162 S1D1 m3481-3533,50,3481,3533
RV162 S1D1 m3533-3698,50,3533,3698
RV162 S1D1 m3698-3814,50,3698,3814
RV162 S1D1 m3814-4126,50,3814,4126
RV162 S1D1 m4126-4135,50,4126,4135
RV162 S1D1 m4135-4178,50,4135,4178
RV162 S1D1 m4178-4183,50,4178,4183
RV162 S1D1 m4183-4189,50,4183,4189
RV162 S1D1 m4189-4201,50,4189,4201
RV162 S1D1 m4201-4287,50,4201,4287
RV162 S1D1 m4287-4344,50,4287,4344
RV162 S1D1 m2375-2382,50,2375,2382
RV162 S1D1 m2382-2465,50,2382,2465
RV162 S1D1 m2465-2472,50,2465,2472
RV162 S1D1 m2254-2369,50,2254,2369
RV162 S1D1 m2369-2375,50,2369,2375
RV162 S1D1 m5155-5172,50,5155,5172
RV162 S1D1 m5172-5261,50,5172,5261
RV162 S1D1 m5261-5267,50,5261,5267
RV162 S1D1 m0-5,50,0,5
RV162 S1D1 m5-25,50,5,25
RV162 S1D1 m25-239,50,25,239
RV162 S1D1 m239-271,50,239,271
RV162 S1D1 m271-275,50,271,275
RV162 S1D1 m275-280,50,275,280
RV162 S1D1 m280-299,50,280,299
RV162 S1D1 m299-318,50,299,318
RV162 S1D1 m318-335,50,318,335
RV162 S1D1 m335-339,50,335,339
RV162 S1D1 m1587-2167,50,1587,2167
RV162 S1D1 m2167-2188,50,2167,2188
RV162 S1D1 m2188-2193,50,2188,2193
RV162 S1D1 m2193-2196,50,2193,2196
RV162 S1D1 m2196-2254,50,2196,2254
RV162 S1D1 m4498-4502,50,4498,4502
RV162 S1D1 m4502-4547,50,4502,4547
RV162 S1D1 m4547-4555,50,4547,4555
RV162 S1D1 m4361-4373,50,4361,4373
RV162 S1D1 m4373-4492,50,4373,4492
RV162 S1D1 m4492-4498,50,4492,4498
RV162 S1D1 m4555-4568,50,4555,4568
RV162 S1D1 m4568-5155,50,4568,5155
RV162 S1D1 m4344-4350,50,4344,4350
RV162 S1D1 m4350-4361,50,4350,4361
RV162 S1D1 m339-345,50,339,345
RV162 S1D1 m559-567,50,559,567
RV162 S1D1 m567-937,50,567,937
RV162 S1D1 m345-559,50,345,559
RV162 S1D1 m1324-1369,50,1324,1369
RV162 S1D1 m945-971,50,945,971
RV162 S1D1 m971-1324,50,971,1324
RV162 S1D1 m1369-1458,50,1369,1458
RV162 S1D1 m1458-1563,50,1458,1563
RV162 S1D1 m1563-1568,50,1563,1568
RV162 S1D1 m937-945,50,937,945
RV162 S1D1 m1568-1587,50,1568,1587
