Vegreferanse,Startdato,Sluttdato,Fartsgrense
RV162 S1D1 m2472-2477,2017-12-11,,50
RV162 S1D1 m2477-2483,2017-12-11,,50
RV162 S1D1 m2483-2526,2017-12-11,,50
RV162 S1D1 m2526-2565,2017-12-11,,50
RV162 S1D1 m2565-2936,2017-12-11,,50
RV162 S1D1 m2936-3051,2017-12-11,,50
RV162 S1D1 m3051-3070,2017-12-11,,50
RV162 S1D1 m3070-3096,2017-12-11,,50
RV162 S1D1 m3096-3458,2017-12-11,,50
RV162 S1D1 m3458-3460,2017-12-11,,50
RV162 S1D1 m3460-3481,2017-12-11,,50
RV162 S1D1 m3481-3533,2017-12-11,,50
RV162 S1D1 m3533-3698,2017-12-11,,50
RV162 S1D1 m3698-3814,2017-12-11,,50
RV162 S1D1 m3814-4126,2017-12-11,,50
RV162 S1D1 m4126-4135,2017-12-11,,50
RV162 S1D1 m4135-4178,2017-12-11,,50
RV162 S1D1 m4178-4183,2017-12-11,,50
RV162 S1D1 m4183-4189,2005-06-03,,50
RV162 S1D1 m4189-4201,2005-06-03,,50
RV162 S1D1 m4201-4287,2005-06-03,,50
RV162 S1D1 m4287-4344,2005-06-03,,50
RV162 S1D1 m4183 KD1 m45-77,2017-12-11,,50
RV162 S1D1 m4183 KD1 m0-45,2017-12-11,,50
RV162 S1D1 m4183 KD1 m106-124,2017-12-11,,50
RV162 S1D1 m2472 KD1 m0-94,2017-12-11,,50
RV162 S1D1 m2375-2382,2017-12-11,,50
RV162 S1D1 m2382-2465,2017-12-11,,50
RV162 S1D1 m2465-2472,2017-12-11,,50
RV162 S1D1 m4183 KD1 m77-106,2005-06-03,,50
RV162 S1D1 m2312 KD6 m0-66,2017-12-11,,50
RV162 S1D1 m2254-2369,2018-09-03,,50
RV162 S1D1 m2369-2375,2018-09-03,,50
RV162 S1D1 m2312 KD1 m0-72,2017-12-11,,50
RV162 S1D1 m5155-5172,2017-12-11,,50
RV162 S1D1 m5172-5261,2017-12-11,,50
RV162 S1D1 m3122 KD4 m0-5,2017-12-11,,50
RV162 S1D1 m3122 KD4 m5-23,2017-12-11,,50
RV162 S1D1 m3122 KD4 m23-26,2017-12-11,,50
RV162 S1D1 m2778 KD4 m0-11,2017-12-11,,50
RV162 S1D1 m2778 KD4 m11-106,2017-12-11,,50
RV162 S1D1 m2778 KD4 m106-117,2017-12-11,,50
RV162 S1D1 m2778 KD1 m0-6,2017-12-11,,50
RV162 S1D1 m2778 KD1 m6-100,2017-12-11,,50
RV162 S1D1 m2778 KD1 m100-164,2017-12-11,,50
RV162 S1D1 m2778 KD1 m164-240,2017-12-11,,50
RV162 S1D1 m2778 KD1 m240-347,2017-12-11,,50
RV162 S1D1 m2778 KD1 m347-352,2017-12-11,,50
RV162 S1D1 m2778 KD3 m0-8,2017-12-11,,50
RV162 S1D1 m2778 KD3 m8-164,2017-12-11,,50
RV162 S1D1 m2778 KD3 m164-175,2017-12-11,,50
RV162 S1D1 m2778 KD3 m175-240,2017-12-11,,50
RV162 S1D1 m2778 KD3 m240-245,2017-12-11,,50
RV162 S1D1 m2312 KD4 m0-4,2017-12-11,,50
RV162 S1D1 m2312 KD4 m4-186,2017-12-11,,50
RV162 S1D1 m2312 KD4 m186-199,2017-12-11,,50
RV162 S1D1 m5261-5267,2017-12-11,,50
RV162 S1D1 m3122 KD3 m0-3,2017-12-11,,50
RV162 S1D1 m3122 KD3 m3-18,2017-12-11,,50
RV162 S1D1 m3122 KD3 m18-21,2017-12-11,,50
RV162 S1D1 m2778 KD2 m0-11,2017-12-11,,50
RV162 S1D1 m2778 KD2 m11-173,2017-12-11,,50
RV162 S1D1 m2778 KD2 m173-181,2017-12-11,,50
RV162 S1D1 m2312 KD7 m0-123,2017-12-11,,50
RV162 S1D1 m2312 KD2 m0-4,2018-09-04,,50
RV162 S1D1 m2312 KD2 m4-67,2018-09-04,,50
RV162 S1D1 m2312 KD2 m67-130,2018-09-04,,50
RV162 S1D1 m2312 KD2 m130-134,2018-09-04,,50
RV162 S1D1 m2312 KD5 m0-10,2017-12-11,,50
RV162 S1D1 m2312 KD5 m10-35,2017-12-11,,50
RV162 S1D1 m2312 KD5 m35-39,2017-12-11,,50
RV162 S1D1 m0-5,2017-12-11,,50
RV162 S1D1 m5-25,2017-12-11,,50
RV162 S1D1 m25-239,2017-12-11,,50
RV162 S1D1 m0 KD1 m0-159,2017-12-11,,50
RV162 S1D1 m239-271,2017-12-11,,50
RV162 S1D1 m271-275,2017-12-11,,50
RV162 S1D1 m275 KD1 m0-55,2017-12-11,,50
RV162 S1D1 m275-280,2017-12-11,,50
RV162 S1D1 m280-299,2017-12-11,,50
RV162 S1D1 m299-318,2017-12-11,,50
RV162 S1D1 m318-335,2017-12-11,,50
RV162 S1D1 m335-339,2017-12-11,,50
RV162 S1D1 m339 KD1 m0-50,2017-12-11,,50
RV162 S1D1 m1587-2167,2017-12-11,,50
RV162 S1D1 m2167-2188,2017-12-11,,50
RV162 S1D1 m2188-2193,2017-12-11,,50
RV162 S1D1 m2193 KD1 m0-71,2017-12-11,,50
RV162 S1D1 m2193-2196,2017-12-11,,50
RV162 S1D1 m2196-2254,2017-12-11,,50
RV162 S1D1 m3473 KD2 m0-80,2017-12-11,,50
RV162 S1D1 m3473 KD2 m80-85,2017-12-11,,50
RV162 S1D1 m3473 KD1 m0-6,2017-12-11,,50
RV162 S1D1 m3473 KD1 m6-57,2017-12-11,,50
RV162 S1D1 m3473 KD1 m57-77,2017-12-11,,50
RV162 S1D1 m4498-4502,2017-12-11,,50
RV162 S1D1 m4502-4547,2017-12-11,,50
RV162 S1D1 m4547-4555,2017-12-11,,50
RV162 S1D1 m4361-4373,2017-12-11,,50
RV162 S1D1 m4373-4492,2017-12-11,,50
RV162 S1D1 m4492-4498,2017-12-11,,50
RV162 S1D1 m4555-4568,2017-12-11,,50
RV162 S1D1 m4568-5155,2017-12-11,,50
RV162 S1D1 m4344-4350,2017-12-11,,50
RV162 S1D1 m4350-4361,2017-12-11,,50
RV162 S1D1 m339-345,2017-12-11,,50
RV162 S1D1 m559-567,2017-12-11,,50
RV162 S1D1 m567-937,2017-12-11,,50
RV162 S1D1 m345-559,2017-12-11,,50
RV162 S1D1 m1324-1369,2021-09-01,,50
RV162 S1D1 m945-971,2021-09-01,,50
RV162 S1D1 m971-1324,2021-09-01,,50
RV162 S1D1 m1369-1458,2021-09-01,,50
RV162 S1D1 m1458-1563,2021-09-01,,50
RV162 S1D1 m1563-1568,2021-09-01,,50
RV162 S1D1 m937-945,2017-12-11,,50
RV162 S1D1 m1568-1587,2017-12-11,,50
RV162 S1D1 m2312 KD3 m0-2,2018-09-04,,50
RV162 S1D1 m2312 KD3 m2-77,2018-09-04,,50
RV162 S1D1 m2312 KD3 m77-214,2018-09-04,,50
RV162 S1D1 m2312 KD3 m214-218,2018-09-04,,50
RV162 S1D1 m2332 SD1 m0-8,2021-01-01,,30
RV162 S1D1 m2332 SD1 m8-59,2021-01-01,,30
RV162 S1D1 m2332 SD1 m59-68,2021-01-01,,30
RV162 S1D1 m3122 KD1 m86-138,2023-01-01,,30
RV162 S1D1 m3122 KD1 m138-141,2023-01-01,,30
RV162 S1D1 m3122 KD1 m0-8,2023-01-01,,50
RV162 S1D1 m3122 KD1 m8-86,2023-01-01,,50
