"Trafikkregistreringspunkt","Vegreferanse","Navn","Dato","Fra tidspunkt","Til tidspunkt","Trafikkmengde","Gyldige passeringer","Gjennomsnittshastighet","85-fraktil"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","00:00:00","01:00:00","678.0","564.0","23.0","34.3"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","01:00:00","02:00:00","548.0","535.0","33.2","41.9"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","02:00:00","03:00:00","349.0","346.0","36.3","45.6"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","03:00:00","04:00:00","310.0","309.0","38.0","47.5"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","04:00:00","05:00:00","279.0","279.0","40.7","49.0"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","05:00:00","06:00:00","123.0","123.0","40.3","46.6"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","06:00:00","07:00:00","70.0","70.0","40.4","47.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","07:00:00","08:00:00","64.0","64.0","39.3","47.3"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","08:00:00","09:00:00","57.0","57.0","39.2","48.7"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","09:00:00","10:00:00","99.0","99.0","36.9","46.0"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","10:00:00","11:00:00","116.0","116.0","34.9","41.8"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","11:00:00","12:00:00","160.0","159.0","35.2","41.8"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","12:00:00","13:00:00","233.0","232.0","34.7","43.4"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","13:00:00","14:00:00","274.0","272.0","34.2","42.0"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","14:00:00","15:00:00","317.0","313.0","32.3","38.4"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","15:00:00","16:00:00","334.0","333.0","34.5","42.6"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","16:00:00","17:00:00","400.0","396.0","32.8","40.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","17:00:00","18:00:00","352.0","350.0","33.1","41.9"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","18:00:00","19:00:00","339.0","337.0","33.3","41.6"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","19:00:00","20:00:00","290.0","288.0","35.2","42.8"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","20:00:00","21:00:00","278.0","278.0","35.3","43.1"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","21:00:00","22:00:00","195.0","194.0","35.1","43.7"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","22:00:00","23:00:00","167.0","167.0","35.9","43.8"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-01","23:00:00","00:00:00","132.0","132.0","35.2","42.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","00:00:00","01:00:00","69.0","69.0","34.2","41.4"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","01:00:00","02:00:00","35.0","35.0","39.6","46.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","02:00:00","03:00:00","21.0","21.0","40.4","46.0"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","03:00:00","04:00:00","22.0","22.0","44.3","53.4"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","04:00:00","05:00:00","24.0","24.0","40.8","47.0"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","05:00:00","06:00:00","70.0","70.0","37.0","43.7"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","06:00:00","07:00:00","222.0","220.0","33.4","41.3"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","07:00:00","08:00:00","544.0","542.0","31.5","38.4"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","08:00:00","09:00:00","690.0","668.0","30.0","36.8"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","09:00:00","10:00:00","546.0","539.0","31.2","40.3"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","10:00:00","11:00:00","603.0","597.0","32.7","39.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","11:00:00","12:00:00","538.0","530.0","31.8","38.6"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","12:00:00","13:00:00","638.0","632.0","30.9","38.1"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","13:00:00","14:00:00","622.0","611.0","31.2","38.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","14:00:00","15:00:00","650.0","643.0","33.4","39.9"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","15:00:00","16:00:00","796.0","779.0","31.2","36.3"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","16:00:00","17:00:00","752.0","736.0","28.2","35.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","17:00:00","18:00:00","581.0","573.0","31.6","38.7"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","18:00:00","19:00:00","476.0","473.0","33.2","41.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","19:00:00","20:00:00","387.0","386.0","35.6","44.2"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","20:00:00","21:00:00","320.0","319.0","35.0","43.8"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","21:00:00","22:00:00","233.0","232.0","35.8","42.4"
"64557V625518","RV162 S1D1 m4949","MUNKEDAMSVEIEN","2020-01-02","22:00:00","23:00:00","222.0","220.0","35.8","43.0"
