"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"FØRSTE FOREKOMST";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"ALVORLIGHETSGRAD";"ANTALL ALVORLIG SKADET (STK)";"ANTALL ANDRE ENHETER (NY) (STK)";"ANTALL BUSS (NY) (STK)";"ANTALL DREPTE I ULYKKEN (STK)";"ANTALL ENHETER (STK)";"ANTALL FOTGJENGERE (NY) (STK)";"ANTALL KJØREFELT (STK)";"ANTALL LASTEBIL (NY) (STK)";"ANTALL LETT MC (NY) (STK)";"ANTALL LETTERE SKADET (STK)";"ANTALL LITEN ELEKTRISK MOTORVOGN (STK)";"ANTALL MC (NY) (STK)";"ANTALL MEGET ALVORLIG SKADET (STK)";"ANTALL MOPED (NY) (STK)";"ANTALL PERSONBIL (NY) (STK)";"ANTALL SKINNEGÅENDE MATERIELL (NY) (STK)";"ANTALL SYKKEL (NY) (STK)";"ANTALL TRAKTOR (NY) (STK)";"ANTALL UKJENTE ENHETER (NY) (STK)";"ANTALL VAREBIL (NY) (STK)";"ATK, INFLUENSSTREKNING (NY)";"DEKKETYPE";"FARTSDEMPENDE TILTAK (NY)";"FARTSGRENSE (KM/H)";"FORSTERKET VEGOPPMERKING";"FYLKENAVN (NY)";"FYLKENUMMER (NY)";"FYSISK MIDTDELER/MIDTREKKVERK";"FØREFORHOLD";"GEOMETRI, PUNKT";"HISTORISK ARM (NY)";"HISTORISK HP";"HISTORISK KILOMETERVERDI";"HISTORISK KRYSSDEL (NY)";"HISTORISK KRYSSDEL METERVERDI (NY)";"HISTORISK METERVERDI (NY)";"HISTORISK SIDEANLEGGSDEL (NY)";"HISTORISK SIDEANLEGGSDEL METERVERDI (NY)";"HISTORISK TRAFIKANTGRUPPE (NY)";"HISTORISK VEGDELSTREKNING (NY)";"HISTORISK VEGFASE (NY)";"HISTORISK VEGKATEGORI";"HISTORISK VEGNUMMER";"HISTORISK VEGSTATUS";"HISTORISK VEGSTREKNING (NY)";"KJØREFELTTYPE";"KOMMUNENAVN (NY)";"KOMMUNENUMMER (NY)";"LYSFORHOLD";"MC-SKINNE (NY)";"MÅNED (NY)";"REGULERING GANGFELT (NY)";"REGULERING VEGKRYSS (NY)";"STEDFESTINGENS NØYAKTIGHET";"STEDSFORHOLD";"TEMPERATUR (ºC)";"TETTSTED";"UID (NY)";"UKEDAG";"UKEDAGSTYPE (NY)";"ULYKKESDATO";"ULYKKESKLOKKESLETT";"ULYKKESKODE";"ULYKKESTYPE (NY)";"ULYKKESTYPE UNDERKATEGORI (NY)";"VEGBELYSNING (NY)";"VEGBREDDE (M)";"VEGTYPE";"VINTERDRIFTSKLASSE (NY)";"VÆRFORHOLD";"ÅDT (NY)";"ÅR (NY)";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"LOK.FYLKE";"LOK.FYLKESNUMMER";"LOK.RIKSVEGRUTE";"LOK.KONTRAKTSOMRÅDE";"LOK.VEGSYSTEMREFERANSE";"LOK.VEGKATEGORI";"LOK.FASE";"LOK.VEGNUMMER";"LOK.STREKNING";"LOK.DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"STREKNING.RETNING";"SIDEPOSISJON";"TYPEVEG";"LENGDE";"MOR";"BARN";"GEOMETRI"
"86369958";"570";"1";"1";"2005-06-07";"";"2023-07-26T15:05:22";"";"";"0";"0";"";"2";"0";"4";"0";"0";"";"";"0";"";"1";"1";"0";"0";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"50";"Ukjent";"Oslo";"3";"";"Tørr, bar veg";"POINT (260959 6649201)";"Nei";"1";"2910";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Dagslys";"";"6";"Ukjent";"Ukjent";"";"4 armet kryss (X-kryss)";"";"Tettsted";"UID1000109313";"Tirsdag";"Yrkesdøgn";"2005-06-07";"09:00:00";"Avsvinging til venstre foran kjørende i motsatt retning";"Kryssende kjøreretning";"Ulykke ved avsvinging fra motsatte kjøreretning";"Nei";"";"Vanlig veg/gate";"";"God sikt, opphold";"14968";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m5075";"Riksveg";"Eksisterende";"162";"1";"1";"5074,748";"5074,748";"625518";"0,78564238";"0,78564238";"";"";"enkelBilveg";"0";"716:197520175,716:213651909,717:197519739,717:213651474,717:245817273";"571:86369959,571:86369961";"POINT Z(260958.975 6649201.095 3.556)"
"86370482";"570";"1";"1";"2006-01-19";"";"2023-07-24T10:59:32";"";"";"0";"0";"";"2";"1";"3";"0";"0";"";"";"0";"";"0";"1";"0";"0";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"30";"Ukjent";"Oslo";"3";"";"Snø / isbelagt veg";"POINT (262565 6649542)";"Nei";"80";"14298";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Mørkt med vegbelysning";"";"1";"Ukjent";"Ukjent";"";"Vegstrekning utenfor kryss/avkjørsel";"5";"Tettsted";"UID1000109407";"Torsdag";"Yrkesdøgn";"2006-01-19";"17:20:00";"Fotgjenger krysset kjørebanen forøvrig";"Fotgjenger/akende";"Fotgjenger krysset kjørebanen";"Ja";"";"Vanlig veg/gate";"";"Dårlig sikt, nedbør";"4145";"2006";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m2778 KD1 m300";"Riksveg";"Eksisterende";"162";"1";"1";"299,508";"299,508";"625521";"0,85199596";"0,85199596";"";"";"enkelBilveg";"0";"716:213651911,716:245817661,716:272130243,717:197519740,717:213651475,717:245817274,717:272129948";"571:86370483,571:86370486";"POINT Z(262565.047 6649542.024 6.747)"
"86370620";"570";"1";"1";"2005-09-29";"";"2023-07-26T10:16:47";"";"";"0";"0";"";"2";"0";"5";"0";"0";"";"";"0";"";"0";"2";"0";"0";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"50";"Ukjent";"Oslo";"3";"";"Ukjent";"POINT (262297 6649725)";"Nei";"1";"1090";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Dagslys";"";"9";"Ukjent";"Ukjent";"";"Tunnel (primært for motorkjøretøy)";"0";"Ikke tettsted";"UID1000109432";"Torsdag";"Yrkesdøgn";"2005-09-29";"16:00:00";"Påkjøring bakfra";"Samme kjøreretning";"Ulykke mellom kjøretøy med samme kjøreretning";"Nei";"";"Vanlig veg/gate";"";"Ukjent";"17269";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,0310 Tunnel Oslo 2020-2025,9104 Oslo-Gardermoen 2021-2026,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,Drift og vedlikehold av elektriske anlegg Oslo Asker og Bærum 2018-2023,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m3096";"Riksveg";"Eksisterende";"162";"1";"1";"3096,354";"3096,354";"625517";"0,36496588";"0,36496588";"";"";"kanalisertVeg";"0";"716:197520165,716:245817653,717:197519738,717:213651473,717:245817271";"571:86370621,571:86370623";"POINT Z(262298.998 6649726.987 14.554)"
"86370709";"570";"1";"1";"2005-06-05";"";"2023-07-26T15:05:22";"";"";"0";"0";"";"2";"0";"4";"0";"0";"";"";"0";"";"0";"2";"0";"0";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"50";"Ukjent";"Oslo";"3";"";"Våt, bar veg";"POINT (261351 6649512)";"Nei";"1";"2415";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"";"";"6";"Ukjent";"Ukjent";"";"4 armet kryss (X-kryss)";"14";"Tettsted";"UID1000109450";"Søndag";"Helgedøgn";"2005-06-05";"02:02:00";"Kryssende kjøreretninger (uten avsvinging)";"Kryssende kjøreretning";"Ulykke ved kryssende kjøreretning uten avsvingning";"Nei";"";"Vanlig veg/gate";"";"God sikt, nedbør";"14968";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m4567";"Riksveg";"Eksisterende";"162";"1";"1";"4566,926";"4566,926";"625518";"0,21528089";"0,21528089";"";"";"kanalisertVeg";"0";"716:197520171,716:213651905,716:245817657,717:197519739,717:213651474,717:245817273";"571:86370710,571:86370713";"POINT Z(261350.169 6649517.811 6.393)"
"86370919";"570";"1";"1";"2005-04-17";"";"2023-07-26T10:16:47";"";"";"0";"0";"";"2";"1";"4";"0";"0";"";"";"0";"";"0";"1";"0";"0";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"50";"Ukjent";"Oslo";"3";"";"Ukjent";"POINT (261755 6649948)";"Nei";"1";"1733";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Mørkt med vegbelysning";"";"4";"Ukjent";"Ukjent";"";"Vegstrekning utenfor kryss/avkjørsel";"0";"Tettsted";"UID1000109490";"Søndag";"Helgedøgn";"2005-04-17";"03:00:00";"Fotgjenger stod stille eller oppholdt seg forøvrig i kjørebanen";"Fotgjenger/akende";"Fotgjenger langs vegen eller i kjørebanen";"Nei";"";"Vanlig veg/gate";"";"Ukjent";"17269";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m3743";"Riksveg";"Eksisterende";"162";"1";"1";"3742,649";"3742,649";"625517";"0,74233405";"0,74233405";"";"";"kanalisertVeg";"0";"716:197520167,716:213651901,717:197519738,717:213651473,717:245817272";"571:86370920,571:86370922";"POINT Z(261754.997 6649941.994 13.999)"
"86371059";"570";"1";"1";"2005-11-05";"";"2022-09-16T15:12:36";"";"";"0";"0";"";"2";"0";"2";"0";"0";"";"";"0";"";"0";"1";"0";"0";"0";"0";"1";"Nei";"Asfalt, oljegrus";"Ukjent";"50";"Ukjent";"Oslo";"3";"";"Tørr, bar veg";"POINT (262633 6649258)";"Nei";"404";"39";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Dagslys";"";"11";"Ukjent";"Ukjent";"";"Rundkjøring";"0";"Tettsted";"UID1000109514";"Lørdag";"Helgedøgn";"2005-11-05";"09:08:00";"Kryssende kjøreretninger (uten avsvinging)";"Kryssende kjøreretning";"Ulykke ved kryssende kjøreretning uten avsvingning";"Nei";"7";"Vanlig veg/gate";"";"God sikt, opphold";"";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m2472 KD1 m39";"Riksveg";"Eksisterende";"162";"1";"1";"38,863";"38,863";"625528";"0,41015414";"0,41015414";"";"";"rundkjøring";"0";"716:197520164,716:197520203,716:213651899,716:213651945,716:245817652,716:245817688,717:197519737,717:197519740,717:197519754,717:213651472,717:213651475,717:213651489,717:245817271,717:245817274,717:245817290";"571:86371060,571:86371062";"POINT Z(262633.35 6649257.667 4.158)"
"86371161";"570";"1";"1";"2005-11-14";"";"2023-07-26T10:16:47";"";"";"0";"0";"";"2";"0";"2";"1";"0";"";"";"0";"";"0";"1";"0";"0";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"80";"Ukjent";"Oslo";"3";"";"Tørr, bar veg";"POINT (262328 6649725)";"Nei";"1";"1062";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Tussmørke, skumring";"";"11";"Ukjent";"Ukjent";"";"Tunnel (primært for motorkjøretøy)";"0";"Ikke tettsted";"UID1000109531";"Mandag";"Yrkesdøgn";"2005-11-14";"12:45:00";"Påkjøring av forankjørende ved skifte av felt til høyre";"Samme kjøreretning";"Ulykke mellom kjøretøy med samme kjøreretning";"Nei";"10";"Vanlig veg/gate";"";"God sikt, opphold";"17269";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,0310 Tunnel Oslo 2020-2025,9104 Oslo-Gardermoen 2021-2026,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,Drift og vedlikehold av elektriske anlegg Oslo Asker og Bærum 2018-2023,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m3069";"Riksveg";"Eksisterende";"162";"1";"1";"3068,833";"3068,833";"625517";"0,34887037";"0,34887037";"";"";"kanalisertVeg";"0";"716:197520165,716:245817653,717:197519737,717:213651472,717:245817271";"571:86371162,571:86371164";"POINT Z(262325.924 6649721.708 13.386)"
"86371328";"570";"1";"1";"2005-11-24";"";"2023-01-25T14:48";"";"";"0";"0";"";"2";"1";"2";"0";"0";"";"";"0";"";"0";"1";"0";"0";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"50";"Ukjent";"Oslo";"3";"";"Våt, bar veg";"POINT (262814 6649174)";"Nei";"1";"266";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Mørkt med vegbelysning";"";"11";"Ukjent";"Ukjent";"";"Vegstrekning utenfor kryss/avkjørsel";"0";"Tettsted";"UID1000109562";"Torsdag";"Yrkesdøgn";"2005-11-24";"08:04:00";"Fotgjenger krysset kjørebanen i gangfelt utenfor kryss";"Fotgjenger/akende";"Fotgjenger krysset kjørebanen";"Nei";"10";"Vanlig veg/gate";"";"God sikt, nedbør";"13574";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m2323";"Riksveg";"Eksisterende";"162";"1";"1";"2322,613";"2322,613";"625515";"0,79130318";"0,79130318";"";"";"kanalisertVeg";"0";"716:197520163,716:213651897,716:245817651,717:197519737,717:213651472,717:245817271";"571:86371329,571:86371331";"POINT Z(262813.747 6649174.278 3.267)"
"86371405";"570";"1";"1";"2005-11-06";"";"2023-01-25T14:48";"";"";"0";"0";"";"2";"0";"2";"0";"0";"";"";"0";"";"0";"2";"0";"0";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"50";"Ukjent";"Oslo";"3";"";"Våt, bar veg";"POINT (262777 6649253)";"Nei";"80";"32137";"";"";"";"";"";"K";"";"V";"Riksveg";"4";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Mørkt med vegbelysning";"";"11";"Ukjent";"Ukjent";"";"Bru";"10";"Ikke tettsted";"UID1000109576";"Søndag";"Helgedøgn";"2005-11-06";"02:55:00";"Møting i kurve";"Motsatt kjøreretning";"Ulykke ved møting";"Nei";"9";"Vanlig veg/gate";"";"God sikt, nedbør";"4753";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m2312 KD2 m85";"Riksveg";"Eksisterende";"162";"1";"1";"84,896";"84,896";"625373";"0,73742966";"0,73742966";"";"";"rampe";"0";"";"571:86371406,571:86371408";"POINT Z(262777.149 6649252.856 4.152)"
"86371759";"570";"1";"1";"2005-09-24";"";"2023-07-26T10:16:47";"";"";"0";"0";"";"2";"0";"2";"0";"0";"";"";"0";"";"0";"1";"0";"1";"0";"0";"0";"Nei";"Asfalt, oljegrus";"Ukjent";"50";"Ukjent";"Oslo";"3";"";"Tørr, bar veg";"POINT (261595 6649799)";"Nei";"1";"1977";"";"";"";"";"";"K";"";"V";"Riksveg";"162";"Eksisterende veg";"";"Vanlig kjørefelt";"Oslo";"301";"Mørkt med vegbelysning";"";"9";"Ukjent";"Ukjent";"";"4 armet kryss (X-kryss)";"0";"Tettsted";"UID1000109642";"Lørdag";"Helgedøgn";"2005-09-24";"01:22:00";"Kryssende kjøreretninger (uten avsvinging)";"Kryssende kjøreretning";"Ulykke ved kryssende kjøreretning uten avsvingning";"Nei";"8";"Vanlig veg/gate";"";"God sikt, opphold";"17269";"2005";"Oslo";"301";"Oslo";"3";"RUTE3 2014-2023 / 2018-2029";"0303 RIKSVEGER OSLO 2016-2021,Drift Elektro veglyskontrakt Oslo og Akershus,9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,Drifts- og vedlikeholdskontrakt for signalanlegg i Region øst 2018-2022,9161 Oslo Elektro 2023-2028";"RV162 S1D1 m3982";"Riksveg";"Eksisterende";"162";"1";"1";"3982,038";"3982,038";"625517";"0,88237372";"0,88237372";"";"";"kanalisertVeg";"0";"716:197520169,716:213651903,716:245817655,717:197519738,717:213651473,717:245817272";"571:86371760,571:86371762";"POINT Z(261589.7 6649801.8 12.158)"
